COUNTYA,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQTOE001,AQTOE002,AQTOE003,AQTOE004,AQTOE005,AQTOE006,AQTOE007,AQTOE008,AQTOE009,AQTOE010,AQTOE011,AQTOE012,AQTOE013,AQUSE001,AQUYE001,AQUYE002,AQUYE003,AQUYE004,AQUYE005,AQUYE006,AQUYE007,AQUYE008,AQUYE009,AQUYE010,AQUYE011,AQU4E001,AQVWE001,AQVWE002,AQVWE003,AQVWE004,AQVWE005,AQVWE006,AQVWE007,AQVWE008,AQVWE009,AQVWE010,AQVWE011,AQVWE012,AQVWE013
93,43698,3114,4175,2471,1974,3122,1559,27283,53898,18768,12744,9872,2572,212,75,13,6024,3856,1799,247,69,53,984,6024,279,665,395,639,487,472,294,665,1536,592,260200,18768,5907,1987,790,26,6837,999,479,121,6024,2823,1521,592
95,441378,19667,20038,12480,13157,18959,11830,345247,97037,154987,97692,69923,25363,1613,539,254,57295,30041,21572,3610,1637,435,1981,57295,1118,3423,5913,7150,6931,5608,4096,5283,14786,2987,549100,154987,71276,23326,8796,290,26416,3184,1926,396,57295,28645,14159,2987
97,481716,24078,18847,12878,13336,19656,9954,382967,99266,189653,116921,87492,26836,1786,581,226,72732,38744,27427,4509,1500,552,2029,72732,2134,4788,7921,8233,8411,7163,5027,6835,18407,3813,748500,189653,77093,28072,11870,232,39828,6564,3032,619,72732,36103,17626,3813
99,547303,33443,41682,27175,27162,39700,16635,361506,74872,175747,106359,68674,32169,4320,816,380,69388,32098,29492,5482,1637,679,1433,69388,1808,5576,8568,7493,7335,5121,4523,6318,18004,4642,393300,175747,70378,23147,9842,304,35981,5312,2159,621,69388,32893,17648,4642
101,98113,5527,7538,5115,4999,6514,3178,65242,72654,33041,19680,13502,5265,611,181,121,13361,6726,5400,833,344,58,1289,13361,766,992,1330,1656,1378,1289,887,1529,2600,934,375400,33041,12693,4044,1475,62,6987,1056,444,52,13361,5949,2563,934
103,64796,4778,5705,3581,4064,4529,2384,39755,59029,24623,16520,12172,3715,369,166,98,8103,4486,3146,392,60,19,1119,8103,115,713,863,1158,865,439,508,724,1809,909,290400,24623,9775,3422,1320,78,6745,1146,691,89,8103,3410,1800,909
105,15717,1947,1510,896,998,1249,226,8891,47317,5483,3883,3257,472,133,21,0,1600,1139,345,116,0,0,928,1600,86,293,127,252,84,74,85,154,198,247,326200,5483,1527,613,300,15,2356,312,179,66,1600,467,198,247
107,467719,37638,48753,31275,29579,39411,15726,265337,64474,140670,82078,47453,29546,3816,952,311,58592,22870,27248,6510,1374,590,1137,58592,2355,5387,6665,6581,6004,4474,3381,5589,13911,4245,280900,140670,54992,17765,6800,373,27086,3598,1922,344,58592,26492,13445,4245
109,51779,2288,3599,1881,1504,2694,1579,38234,70432,22831,16991,13471,3336,172,12,0,5840,3634,1907,190,82,27,1129,5840,282,471,571,592,301,521,307,670,1638,487,377700,22831,10089,4176,1342,8,6902,1627,619,115,5840,2994,1506,487
111,830237,35473,38842,24784,30721,45084,16961,638372,102141,275653,176575,125090,45280,4868,853,484,99078,47678,39653,7030,3544,1173,2140,99078,2190,5584,9286,10376,10228,9858,7022,11154,27435,5945,719100,275653,123698,44829,19007,569,52877,6972,3672,626,99078,53171,26770,5945
113,209629,22192,14329,7489,7755,9935,4155,143774,85097,76107,39712,27885,10777,889,94,67,36395,17398,15175,2306,1278,238,1655,36395,969,2261,3534,3931,4335,2698,2143,3008,11115,2401,555200,76107,26740,7438,2701,91,12972,1629,899,86,36395,18365,10888,2401
115,80299,5685,6690,3583,4499,5617,2471,51754,66693,27567,16928,10922,5419,513,70,4,10639,5296,4339,625,263,116,1137,10639,300,633,1228,1385,1037,1308,562,1025,2262,899,350600,27567,11570,4170,1662,39,5358,730,392,104,10639,4975,2177,899
